date | value
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1


2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-02-11 | 1
2012-01-11 | 2147483648
2012-02-29 | 10
2016-02-29 | 100
2020-02-29 | 500
2011-02-29 | 1
2013-02-29 | 1
2021-02-29 | 1
2009-01-01 | 1
2022-03-30 | 1
2012-06-15 | 0
2012-06-15 | 1000
2012-06-15 | -0.1
2012-06-15 | 1000.1
2012-13-01 | 1
2012-00-01 | 1
2012-01-32 | 1
2012-01-00 | 1
2012-02-30 | 1
2012-06-15 |
2012-06-15 | 42
| 100
this is not a date | 10
2012-06-15 | 1.2.3
2012-06-15 | 1,2
